edge	count_before_dedup	count_after_exact_dedup	rows_removed
NCBIGene:3091 | biolink:related_to | NCBIGene:7422	1	1	0
NCBIGene:3117 | biolink:has_phenotype | MONDO:0005130	1	1	0
NCBIGene:3119 | biolink:has_phenotype | MONDO:0005147	1	1	0
NCBIGene:3172 | biolink:genetically_interacts_with | NCBIGene:6927	1	1	0
NCBIGene:3356 | biolink:interacts_with | NCBIGene:2776	1	1	0
NCBIGene:3356 | biolink:interacts_with | UniProtKB:P28223-1	1	1	0
NCBIGene:3356 | biolink:regulates | NCBIGene:2776	1	1	0
NCBIGene:3356 | biolink:related_to | NCBIGene:2776	1	1	0
NCBIGene:338 | biolink:directly_physically_interacts_with | NCBIGene:3949	1	1	0
NCBIGene:338 | biolink:genetically_interacts_with | NCBIGene:3949	1	1	0
NCBIGene:338 | biolink:physically_interacts_with | UniProtKB:P01130-1	1	1	0
NCBIGene:338 | biolink:regulates | NCBIGene:3949	1	1	0
NCBIGene:338 | biolink:related_to | NCBIGene:3949	1	1	0
NCBIGene:3458 | biolink:interacts_with | NCBIGene:3716	1	1	0
NCBIGene:348 | biolink:affects | NCBIGene:4023	1	1	0
NCBIGene:348 | biolink:affects_response_to | CHEBI:41774	1	1	0
NCBIGene:348 | biolink:genetically_associated_with | MONDO:0005148	1	1	0
NCBIGene:348 | biolink:genetically_associated_with | MONDO:0005180	1	1	0
NCBIGene:348 | biolink:genetically_associated_with | MONDO:0045059	1	1	0
NCBIGene:348 | biolink:interacts_with | NCBIGene:4023	1	1	0
NCBIGene:3559 | biolink:affects | NCBIGene:50943	1	1	0
NCBIGene:3559 | biolink:interacts_with | UniProtKB:Q9BZS1-1	1	1	0
NCBIGene:3569 | biolink:decreases_response_to | CHEBI:27899	1	1	0
NCBIGene:3569 | biolink:genetically_associated_with | MONDO:0004979	1	1	0
NCBIGene:3569 | biolink:genetically_associated_with | MONDO:0005300	1	1	0
NCBIGene:3569 | biolink:genetically_associated_with | MONDO:0024327	1	1	0
NCBIGene:3572 | biolink:genetically_interacts_with | NCBIGene:6774	1	1	0
NCBIGene:3596 | biolink:has_phenotype | MONDO:0004979	1	1	0
NCBIGene:3643 | biolink:affects | NCBIGene:2308	1	1	0
NCBIGene:367 | biolink:directly_physically_interacts_with | NCBIGene:23028	1	1	0
NCBIGene:367 | biolink:directly_physically_interacts_with | NCBIGene:2308	1	1	0
NCBIGene:367 | biolink:genetically_interacts_with | NCBIGene:23028	1	1	0
NCBIGene:367 | biolink:genetically_interacts_with | NCBIGene:2308	1	1	0
NCBIGene:367 | biolink:interacts_with | NCBIGene:2308	1	1	0
NCBIGene:367 | biolink:interacts_with | UniProtKB:P10275-1	1	1	0
NCBIGene:3716 | biolink:affects | NCBIGene:3458	1	1	0
NCBIGene:3716 | biolink:interacts_with | NCBIGene:3458	1	1	0
NCBIGene:3845 | biolink:directly_physically_interacts_with | NCBIGene:673	1	1	0
NCBIGene:3845 | biolink:regulates | NCBIGene:673	1	1	0
NCBIGene:3845 | biolink:related_to | NCBIGene:673	1	1	0
NCBIGene:3902 | biolink:interacts_with | NCBIGene:3958	1	1	0
NCBIGene:3902 | biolink:interacts_with | UniProtKB:P18627-1	1	1	0
NCBIGene:3949 | biolink:directly_physically_interacts_with | NCBIGene:338	1	1	0
NCBIGene:3949 | biolink:physically_interacts_with | NCBIGene:338	1	1	0
NCBIGene:3949 | biolink:physically_interacts_with | UniProtKB:P01130-1	1	1	0
NCBIGene:3958 | biolink:affects | NCBIGene:3902	1	1	0
NCBIGene:3958 | biolink:interacts_with | UniProtKB:P18627-1	1	1	0
NCBIGene:4023 | biolink:interacts_with | NCBIGene:348	1	1	0
NCBIGene:4092 | biolink:affects | NCBIGene:7048	1	1	0
NCBIGene:4092 | biolink:genetically_interacts_with | NCBIGene:7048	1	1	0
NCBIGene:4160 | biolink:genetically_associated_with | MONDO:0005148	1	1	0
NCBIGene:4160 | biolink:has_phenotype | MONDO:0005148	1	1	0
NCBIGene:4615 | biolink:directly_physically_interacts_with | NCBIGene:7099	1	1	0
NCBIGene:4615 | biolink:genetically_interacts_with | NCBIGene:7099	1	1	0
NCBIGene:468 | biolink:affects | NCBIGene:9451	1	1	0
NCBIGene:468 | biolink:interacts_with | NCBIGene:9451	1	1	0
NCBIGene:489 | biolink:interacts_with | NCBIGene:5350	1	1	0
NCBIGene:489 | biolink:interacts_with | UniProtKB:Q93084-5	1	1	0
NCBIGene:50943 | biolink:affects | NCBIGene:3559	1	1	0
NCBIGene:50943 | biolink:interacts_with | NCBIGene:3559	1	1	0
NCBIGene:50943 | biolink:interacts_with | UniProtKB:Q9BZS1-1	1	1	0
NCBIGene:51284 | biolink:genetically_associated_with | MONDO:0005812	1	1	0
NCBIGene:5290 | biolink:affects | NCBIGene:2475	1	1	0
NCBIGene:5290 | biolink:affects | NCBIGene:5728	1	1	0
NCBIGene:5290 | biolink:directly_physically_interacts_with | NCBIGene:5728	1	1	0
NCBIGene:5290 | biolink:interacts_with | UniProtKB:P03372-1	1	1	0
NCBIGene:5290 | biolink:interacts_with | UniProtKB:P60484-1	1	1	0
NCBIGene:5290 | biolink:physically_interacts_with | NCBIGene:2475	1	1	0
NCBIGene:5290 | biolink:regulates | NCBIGene:2475	1	1	0
NCBIGene:5350 | biolink:interacts_with | UniProtKB:Q93084-5	1	1	0
NCBIGene:5468 | biolink:interacts_with | NCBIGene:1149	1	1	0
NCBIGene:5468 | biolink:interacts_with | NCBIGene:9370	1	1	0
NCBIGene:5562 | biolink:physically_interacts_with | NCBIGene:2475	1	1	0
NCBIGene:5562 | biolink:physically_interacts_with | UniProtKB:Q13131-2	1	1	0
NCBIGene:5728 | biolink:affects | NCBIGene:5290	1	1	0
NCBIGene:5728 | biolink:interacts_with | NCBIGene:5290	1	1	0
NCBIGene:5728 | biolink:interacts_with | UniProtKB:P60484-1	1	1	0
NCBIGene:5728 | biolink:regulates | NCBIGene:5290	1	1	0
NCBIGene:5743 | biolink:target_for | MONDO:0006052	1	1	0
NCBIGene:5925 | biolink:directly_physically_interacts_with | NCBIGene:1869	1	1	0
NCBIGene:5925 | biolink:interacts_with | NCBIGene:1869	1	1	0
NCBIGene:5925 | biolink:interacts_with | UniProtKB:P42771-4	1	1	0
NCBIGene:5925 | biolink:physically_interacts_with | NCBIGene:1869	1	1	0
NCBIGene:5925 | biolink:regulates | NCBIGene:1869	1	1	0
NCBIGene:5925 | biolink:related_to | NCBIGene:1869	1	1	0
NCBIGene:59272 | biolink:genetically_associated_with | MONDO:0100096	1	1	0
NCBIGene:59272 | biolink:genetically_associated_with | MONDO:0100233	1	1	0
NCBIGene:5979 | biolink:target_for | MONDO:0011719	1	1	0
NCBIGene:6323 | biolink:affects_response_to | CHEBI:3387	1	1	0
NCBIGene:65018 | biolink:interacts_with | NCBIGene:11315	1	1	0
NCBIGene:65018 | biolink:interacts_with | UniProtKB:Q9BXM7-1	1	1	0
NCBIGene:6622 | biolink:directly_physically_interacts_with | NCBIGene:120892	1	1	0
NCBIGene:6622 | biolink:genetically_interacts_with | NCBIGene:120892	1	1	0
NCBIGene:6622 | biolink:interacts_with | NCBIGene:120892	1	1	0
NCBIGene:6622 | biolink:interacts_with | UniProtKB:P37840-1	1	1	0
NCBIGene:6657 | biolink:interacts_with | UniProtKB:O43474-1	1	1	0
NCBIGene:6720 | biolink:interacts_with | NCBIGene:2194	1	1	0
NCBIGene:6720 | biolink:interacts_with | UniProtKB:P36956-4	1	1	0
NCBIGene:6720 | biolink:regulates | NCBIGene:2194	1	1	0
NCBIGene:6720 | biolink:related_to | NCBIGene:2194	1	1	0
NCBIGene:673 | biolink:affects | NCBIGene:5594	1	1	0
NCBIGene:673 | biolink:directly_physically_interacts_with | NCBIGene:3845	1	1	0
NCBIGene:673 | biolink:genetically_interacts_with | NCBIGene:5594	1	1	0
NCBIGene:673 | biolink:has_phenotype | MONDO:0005148	1	1	0
NCBIGene:675 | biolink:has_phenotype | MONDO:0005140	1	1	0
NCBIGene:6775 | biolink:has_phenotype | MONDO:0007915	1	1	0
NCBIGene:6844 | biolink:affects | NCBIGene:6857	1	1	0
NCBIGene:6844 | biolink:interacts_with | NCBIGene:6857	1	1	0
NCBIGene:6844 | biolink:physically_interacts_with | NCBIGene:6857	1	1	0
NCBIGene:6857 | biolink:affects | NCBIGene:6844	1	1	0
NCBIGene:6857 | biolink:interacts_with | NCBIGene:6844	1	1	0
NCBIGene:6857 | biolink:physically_interacts_with | NCBIGene:6844	1	1	0
NCBIGene:6934 | biolink:contributes_to | MONDO:0005148	1	1	0
NCBIGene:6934 | biolink:has_phenotype | MONDO:0005148	1	1	0
NCBIGene:7048 | biolink:affects | NCBIGene:4092	1	1	0
NCBIGene:7099 | biolink:directly_physically_interacts_with | NCBIGene:4615	1	1	0
NCBIGene:7099 | biolink:regulates | NCBIGene:4615	1	1	0
NCBIGene:7099 | biolink:related_to | NCBIGene:4615	1	1	0
NCBIGene:7124 | biolink:affects | CHEBI:44185	1	1	0
NCBIGene:7124 | biolink:genetically_associated_with | MONDO:0005300	1	1	0
NCBIGene:7124 | biolink:genetically_associated_with | MONDO:0024327	1	1	0
NCBIGene:7124 | biolink:genetically_associated_with | MONDO:0100087	1	1	0
NCBIGene:7157 | biolink:affects_response_to | CHEBI:41774	1	1	0
NCBIGene:7422 | biolink:decreases_response_to | CHEBI:41774	1	1	0
NCBIGene:7471 | biolink:interacts_with | NCBIGene:1499	1	1	0
NCBIGene:7471 | biolink:regulates | NCBIGene:1499	1	1	0
NCBIGene:775 | biolink:genetically_associated_with | MONDO:0024612	1	1	0
NCBIGene:775 | biolink:genetically_associated_with | MONDO:0024613	1	1	0
NCBIGene:801 | biolink:genetically_interacts_with | NCBIGene:6262	1	1	0
NCBIGene:8324 | biolink:interacts_with | NCBIGene:1856	1	1	0
NCBIGene:9314 | biolink:interacts_with | NCBIGene:6657	1	1	0
NCBIGene:9314 | biolink:interacts_with | UniProtKB:O43474-1	1	1	0
NCBIGene:9370 | biolink:affects | NCBIGene:5468	1	1	0
NCBIGene:9370 | biolink:interacts_with | UniProtKB:P37231-1	1	1	0
NCBIGene:9451 | biolink:interacts_with | NCBIGene:468	1	1	0
NCBIGene:9451 | biolink:interacts_with | NCBIGene:7494	1	1	0
NCBIGene:9451 | biolink:interacts_with | UniProtKB:P17861-1	1	1	0
UniProtKB:O15105-1 | biolink:interacts_with | UniProtKB:P37173-2	1	1	0
UniProtKB:O15105-1 | biolink:subclass_of | NCBIGene:4092	1	1	0
UniProtKB:O43474-1 | biolink:interacts_with | NCBIGene:6657	1	1	0
UniProtKB:O43474-1 | biolink:subclass_of | NCBIGene:9314	1	1	0
UniProtKB:O60341-2 | biolink:interacts_with | UniProtKB:P10275-1	1	1	0
UniProtKB:O60341-2 | biolink:subclass_of | NCBIGene:23028	1	1	0
UniProtKB:P01130-1 | biolink:physically_interacts_with | NCBIGene:338	1	1	0
UniProtKB:P01130-1 | biolink:subclass_of | NCBIGene:3949	1	1	0
UniProtKB:P03372-1 | biolink:interacts_with | NCBIGene:5290	1	1	0
UniProtKB:P03372-1 | biolink:subclass_of | NCBIGene:2099	1	1	0
UniProtKB:P04899-1 | biolink:physically_interacts_with | UniProtKB:P14416-1	1	1	0
UniProtKB:P04899-1 | biolink:subclass_of | NCBIGene:2771	1	1	0
UniProtKB:P06213-1 | biolink:physically_interacts_with | NCBIGene:2308	1	1	0
UniProtKB:P06213-1 | biolink:physically_interacts_with | NCBIGene:3643	1	1	0
UniProtKB:P06213-1 | biolink:subclass_of | NCBIGene:3643	1	1	0
UniProtKB:P09471-2 | biolink:physically_interacts_with | UniProtKB:P21554-1	1	1	0
UniProtKB:P09471-2 | biolink:subclass_of | NCBIGene:2775	1	1	0
UniProtKB:P10275-1 | biolink:interacts_with | NCBIGene:2308	1	1	0
UniProtKB:P10275-1 | biolink:interacts_with | UniProtKB:O60341-2	1	1	0
UniProtKB:P12821-1 | biolink:interacts_with | NCBIGene:185	1	1	0
UniProtKB:P12821-1 | biolink:subclass_of | NCBIGene:1636	1	1	0
UniProtKB:P14416-1 | biolink:physically_interacts_with | UniProtKB:P04899-1	1	1	0
UniProtKB:P14416-1 | biolink:subclass_of | NCBIGene:1813	1	1	0
UniProtKB:P17861-1 | biolink:interacts_with | NCBIGene:7494	1	1	0
UniProtKB:P17861-1 | biolink:interacts_with | NCBIGene:9451	1	1	0
UniProtKB:P17861-1 | biolink:subclass_of | NCBIGene:7494	1	1	0
UniProtKB:P18627-1 | biolink:interacts_with | NCBIGene:3958	1	1	0
UniProtKB:P18627-1 | biolink:subclass_of | NCBIGene:3902	1	1	0
UniProtKB:P21554-1 | biolink:physically_interacts_with | UniProtKB:P09471-2	1	1	0
UniProtKB:P21554-1 | biolink:subclass_of | NCBIGene:1268	1	1	0
UniProtKB:P21802-3 | biolink:interacts_with | NCBIGene:10818	1	1	0
UniProtKB:P21802-3 | biolink:subclass_of | NCBIGene:2263	1	1	0
UniProtKB:P28223-1 | biolink:interacts_with | NCBIGene:2776	1	1	0
UniProtKB:P28223-1 | biolink:subclass_of | NCBIGene:3356	1	1	0
UniProtKB:P32121-4 | biolink:interacts_with | UniProtKB:P35372-10	1	1	0
UniProtKB:P32121-4 | biolink:subclass_of | NCBIGene:409	1	1	0
UniProtKB:P35348-2 | biolink:physically_interacts_with | NCBIGene:2767	1	1	0
UniProtKB:P35348-2 | biolink:subclass_of | NCBIGene:148	1	1	0
UniProtKB:P35372-10 | biolink:interacts_with | UniProtKB:P32121-4	1	1	0
UniProtKB:P35372-10 | biolink:subclass_of | NCBIGene:4988	1	1	0
UniProtKB:P35557-2 | biolink:interacts_with | UniProtKB:P35575-1	1	1	0
UniProtKB:P35557-2 | biolink:subclass_of | NCBIGene:2645	1	1	0
UniProtKB:P35575-1 | biolink:interacts_with | UniProtKB:P35557-2	1	1	0
UniProtKB:P35575-1 | biolink:subclass_of | NCBIGene:2538	1	1	0
UniProtKB:P36956-4 | biolink:interacts_with | NCBIGene:2194	1	1	0
UniProtKB:P36956-4 | biolink:subclass_of | NCBIGene:6720	1	1	0
UniProtKB:P37173-2 | biolink:interacts_with | UniProtKB:O15105-1	1	1	0
UniProtKB:P37173-2 | biolink:subclass_of | NCBIGene:7048	1	1	0
UniProtKB:P37231-1 | biolink:interacts_with | NCBIGene:1149	1	1	0
UniProtKB:P37231-1 | biolink:interacts_with | NCBIGene:9370	1	1	0
UniProtKB:P37840-1 | biolink:interacts_with | NCBIGene:120892	1	1	0
UniProtKB:P37840-1 | biolink:subclass_of | NCBIGene:6622	1	1	0
UniProtKB:P40189-1 | biolink:interacts_with | UniProtKB:P40763-1	1	1	0
UniProtKB:P40189-1 | biolink:subclass_of | NCBIGene:3572	1	1	0
UniProtKB:P40763-1 | biolink:interacts_with | UniProtKB:P40189-1	1	1	0
UniProtKB:P40763-1 | biolink:subclass_of | NCBIGene:6774	1	1	0
UniProtKB:P42771-4 | biolink:interacts_with | NCBIGene:5925	1	1	0
UniProtKB:P42771-4 | biolink:subclass_of | NCBIGene:1029	1	1	0
UniProtKB:P47870-2 | biolink:physically_interacts_with | NCBIGene:2554	1	1	0
UniProtKB:P47870-2 | biolink:physically_interacts_with | NCBIGene:2561	1	1	0
UniProtKB:P47870-2 | biolink:subclass_of | NCBIGene:2561	1	1	0
UniProtKB:P60484-1 | biolink:interacts_with | NCBIGene:5290	1	1	0
UniProtKB:P60484-1 | biolink:subclass_of | NCBIGene:5728	1	1	0
UniProtKB:P63096-1 | biolink:physically_interacts_with | NCBIGene:1129	1	1	0
UniProtKB:P63096-1 | biolink:physically_interacts_with | NCBIGene:2770	1	1	0
UniProtKB:P63096-1 | biolink:subclass_of | NCBIGene:2770	1	1	0
UniProtKB:Q01484-4 | biolink:interacts_with | UniProtKB:Q14524-1	1	1	0
UniProtKB:Q01484-4 | biolink:subclass_of | NCBIGene:287	1	1	0
UniProtKB:Q08289-1 | biolink:interacts_with | UniProtKB:Q12809-1	1	1	0
UniProtKB:Q08289-1 | biolink:subclass_of | NCBIGene:783	1	1	0
UniProtKB:Q12809-1 | biolink:interacts_with | UniProtKB:Q08289-1	1	1	0
UniProtKB:Q12809-1 | biolink:subclass_of | NCBIGene:3757	1	1	0
UniProtKB:Q13131-2 | biolink:physically_interacts_with | NCBIGene:2475	1	1	0
UniProtKB:Q13131-2 | biolink:subclass_of | NCBIGene:5562	1	1	0
UniProtKB:Q14524-1 | biolink:interacts_with | UniProtKB:Q01484-4	1	1	0
UniProtKB:Q14524-1 | biolink:subclass_of | NCBIGene:6331	1	1	0
UniProtKB:Q16665-3 | biolink:interacts_with | NCBIGene:2034	1	1	0
UniProtKB:Q16665-3 | biolink:subclass_of | NCBIGene:3091	1	1	0
UniProtKB:Q93084-5 | biolink:interacts_with | NCBIGene:5350	1	1	0
UniProtKB:Q93084-5 | biolink:subclass_of | NCBIGene:489	1	1	0
UniProtKB:Q9BXM7-1 | biolink:interacts_with | NCBIGene:11315	1	1	0
UniProtKB:Q9BXM7-1 | biolink:subclass_of | NCBIGene:65018	1	1	0
UniProtKB:Q9BZS1-1 | biolink:interacts_with | NCBIGene:3559	1	1	0
UniProtKB:Q9BZS1-1 | biolink:subclass_of | NCBIGene:50943	1	1	0
